Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  124    0 0xffffff7f98fda000 0x3d000    0x3d000    com.apple.driver.AppleThunderboltIP (4.0.3) FB30A447-9C2A-3C63-9BB0-BE23AA64213C <85 49 16 7 6 3 1>
  125    3 0xffffff7f991a6000 0x6b000    0x6b000    com.apple.iokit.IOAcceleratorFamily2 (462.8) 78BC2F0E-E723-3A00-A034-22AF4D897F5F <119 94 45 31 16 9 8 7 6 3 1>
  126    0 0xffffff7f9800b000 0xc6000    0xc6000    com.apple.driver.AppleIntelCFLGraphicsFramebuffer (18.0.8) 6FBADF64-84F9-3C03-858D-68EFB531503C <125 120 119 45 16 15 9 8 7 6 3 1>
  127    0 0xffffff7f97a37000 0x2000     0x2000     com.apple.driver.AppleFIVRDriver (4.1.0) 11E76A4C-19B5-36A6-B331-B8D09642AD7E <6 3>
  128    1 0xffffff7f98f82000 0x7000     0x7000     com.apple.driver.AppleSMBusController (1.0.18d1) 7ECD5D2C-E62F-3C6D-ACD7-D90B7443024D <55 16 15 7 6 3>
  129    0 0xffffff7f98f2c000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.16) 32F3E3B3-A4D9-3F0D-B3AF-AFB62617D05F <128 119 17 16 15 9 7 6 3 1>
  130    0 0xffffff7f994f9000 0x1000     0x1000     com.apple.UVCService (1) 0C8C11BE-AEC3-3397-A30A-BBA1E9651DD8 <24 9 8 7 6 3 1>
  133    6 0xffffff7f99394000 0x4000     0x4000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 14F90124-C3DE-336D-B445-1275F2E00F82 <15 9 8 7 6 3>
  134    0 0xffffff7f98bcb000 0x3000     0x3000     com.apple.driver.AppleIntelPCHPMC (2.0.1) A1F28A9D-C9CE-38F4-82AD-7241F5292B75 <133 17 16 15 6 3>
  135    1 0xffffff7f993c1000 0x13000    0x13000    com.apple.driver.X86PlatformPlugin (1.0.0) 350552E2-5DA9-3942-A073-6211025A2F4D <133 24 17 15 9 8 7 6 3 1>
  136    0 0xffffff7f9791f000 0x3000     0x3000     com.apple.driver.AppleAVEBridge (6.1) 17276F72-2A27-39C3-814B-AD035FB92261 <78 7 6 3>
  137    1 0xffffff7f993b1000 0x9000     0x9000     com.apple.driver.IOPlatformPluginLegacy (1.0.0) 4AD59AFE-1CD7-34DA-B354-4A4688CB1BC3 <133 15 9 8 7 6 3>
  138    0 0xffffff7f9939b000 0xe000     0xe000     com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) CC907868-E779-351B-822F-E5929F5EABC1 <137 133 17 16 15 9 8 7 6 3>
  139    4 0xffffff7f99388000 0x9000     0x9000     com.apple.iokit.IONDRVSupport (597) 82F1FA43-E984-36E3-A567-0E8633E266C8 <119 16 9 7 6 3>
  140    2 0xffffff7f9793b000 0x2000     0x2000     com.apple.driver.AppleBacklightExpert (1.1.0) 2F9EA6B6-F978-3589-AABC-5B4EBBD21B7C <139 119 17 16 7 6 3>
  141    0 0xffffff7f97935000 0x3000     0x3000     com.apple.driver.AppleBacklight (180.8) B9C6D450-8735-3072-A2D3-FA718FD24030 <140 139 119 16 7 6 3>
  142    0 0xffffff7f97b13000 0x3000     0x3000     com.apple.driver.AGDCBacklightControl (6.5.7) D9424531-FE65-3EF5-9227-03158BB3F393 <140 120 119 15 9 7 6 3 1>
